City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,East London,ZA,-33.0153,27.9116,57.24,63,19,14.29,few clouds
163,Mogadishu,SO,2.0371,45.3438,75.45,81,100,16.49,overcast clouds
164,Sorong,ID,-0.8833,131.25,81.03,76,100,8.7,overcast clouds
165,Xuddur,SO,4.1213,43.8894,69.26,79,49,17.2,scattered clouds
166,Isla Vista,US,34.4133,-119.861,90.34,53,25,4.47,scattered clouds
167,Bengkulu,ID,-3.8004,102.2655,76.78,86,94,3.87,overcast clouds
168,Vitim,RU,59.4511,112.5578,70.83,64,100,2.26,overcast clouds
169,Huangzhai,CN,38.0751,112.6595,73.81,71,11,1.86,few clouds
170,Morros,BR,-9.4467,-46.3003,75.54,34,13,1.74,few clouds
171,Ponta Delgada,PT,37.7333,-25.6667,70.52,83,20,6.91,few clouds
172,San Patricio,US,28.017,-97.5169,91.54,58,18,13.96,few clouds
173,Sakakah,SA,29.9697,40.2064,89.17,12,49,3.04,scattered clouds
174,Cayenne,GF,4.9333,-52.3333,79.09,1,77,2.3,broken clouds
175,Tukrah,LY,32.5341,20.5791,78.85,79,0,7.56,clear sky
176,Kavieng,PG,-2.5744,150.7967,84.99,63,88,11.01,overcast clouds
177,Saint-Philippe,RE,-21.3585,55.7679,71.11,77,42,13.76,scattered clouds
178,Santa Rosa,PH,14.3122,121.1114,86.02,78,97,1.88,overcast clouds
179,Pisco,PE,-13.7,-76.2167,60.85,82,0,12.66,clear sky
180,Nha Trang,VN,12.25,109.1833,84.2,69,96,3.09,overcast clouds
181,Kodino,RU,63.7198,39.6447,52.18,98,22,4.18,few clouds
182,Mount Isa,AU,-20.7333,139.5,71.37,37,100,8.05,overcast clouds
183,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,52,0,9.22,clear sky
184,Nome,US,64.5011,-165.4064,64.17,55,75,6.58,broken clouds
185,Sur,OM,22.5667,59.5289,84.43,68,49,6.8,scattered clouds
186,Topeka,US,39.0483,-95.678,79.57,82,21,3.0,few clouds
187,Gumdag,TM,39.2061,54.5906,79.57,57,3,9.37,clear sky
188,Prince Rupert,CA,54.3161,-130.3201,69.89,87,100,13.8,overcast clouds
189,Leningradskiy,RU,69.3833,178.4167,49.98,64,74,6.51,broken clouds
190,Ust-Tsilma,RU,65.441,52.1498,59.29,93,100,5.77,light rain
191,Potosi,BO,-19.5836,-65.7531,47.88,31,5,2.21,clear sky
192,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
193,Airai,TL,-8.9266,125.4092,67.95,59,35,4.18,scattered clouds
194,Khatanga,RU,71.9667,102.5,45.88,91,100,11.79,moderate rain
195,Port Elizabeth,ZA,-33.918,25.5701,52.09,80,0,14.97,clear sky
196,Constitucion,CL,-35.3333,-72.4167,51.89,87,98,4.99,overcast clouds
197,Kaohsiung,TW,22.6163,120.3133,87.04,81,75,8.05,broken clouds
198,Camacari,BR,-12.6975,-38.3242,76.77,95,3,5.99,clear sky
199,Souillac,MU,-20.5167,57.5167,68.38,88,75,13.8,light rain
200,Grafton,US,42.207,-71.6856,75.87,66,0,4.27,clear sky
201,Luderitz,NA,-26.6481,15.1594,52.57,64,0,20.13,clear sky
202,Kharp,RU,66.8014,65.8081,52.39,67,10,5.88,clear sky
203,Seddon,AU,-37.8068,144.8916,56.68,51,0,29.93,clear sky
204,Ko Samui,TH,9.5357,99.9357,82.31,78,20,1.14,few clouds
205,Torbay,CA,47.6666,-52.7314,67.57,91,100,11.5,overcast clouds
206,Bandarbeyla,SO,9.4942,50.8122,75.6,77,60,25.21,broken clouds
207,Yelizovo,RU,53.1873,158.3805,59.14,87,75,4.47,broken clouds
208,Jacqueville,CI,5.2052,-4.4146,75.43,84,26,12.71,scattered clouds
209,Gushikawa,JP,26.3544,127.8686,81.99,89,75,5.75,heavy intensity rain
210,Isangel,VU,-19.55,169.2667,78.91,83,75,4.61,broken clouds
211,Pangnirtung,CA,66.1451,-65.7125,57.2,77,100,9.22,light rain
212,Maniitsoq,GL,65.4167,-52.9,44.46,85,47,12.3,scattered clouds
213,North Vanlaiphai,IN,23.1333,93.0667,64.98,98,100,1.81,overcast clouds
214,Bathsheba,BB,13.2167,-59.5167,83.01,94,40,19.57,scattered clouds
215,Narsaq,GL,60.9167,-46.05,43.38,92,28,3.47,scattered clouds
216,Cabra,ES,37.4725,-4.4421,76.03,62,0,4.7,clear sky
217,Taltal,CL,-25.4,-70.4833,56.91,80,18,3.74,few clouds
218,Tuy Hoa,VN,13.0833,109.3,84.4,70,100,8.61,overcast clouds
219,Vizinga,RU,61.0749,50.1031,61.45,70,76,2.66,broken clouds
220,Margate,GB,51.3813,1.3862,66.87,85,98,1.99,light rain
221,Alexandria,EG,31.2156,29.9553,78.76,69,0,5.75,clear sky
222,Miyazu,JP,35.5333,135.1833,84.4,68,93,8.08,overcast clouds
223,Puerto Suarez,BO,-18.95,-57.8,67.21,45,0,2.66,clear sky
224,Katsuura,JP,35.1333,140.3,86.02,71,5,11.97,clear sky
225,Daugavpils,LV,55.8833,26.5333,51.04,82,99,3.6,overcast clouds
226,Umm Lajj,SA,25.0213,37.2685,86.31,49,49,8.37,scattered clouds
227,Kropotkin,RU,45.4375,40.5756,72.27,66,0,9.13,clear sky
228,Lanja,IN,16.85,73.55,75.24,95,20,1.79,few clouds
229,Terney,RU,45.0503,136.6092,80.78,67,94,3.24,overcast clouds
230,Hobyo,SO,5.3505,48.5268,74.95,85,83,24.14,broken clouds
231,Kutum,SD,14.2,24.6667,69.06,77,100,10.18,moderate rain
232,Lorengau,PG,-2.0226,147.2712,83.8,69,100,10.13,overcast clouds
233,Lebu,CL,-37.6167,-73.65,47.88,87,96,3.98,overcast clouds
234,Kampong Chhnang,KH,12.1667,104.55,82.4,79,93,0.94,overcast clouds
235,Yunyang,CN,33.4474,112.7142,83.08,67,0,5.26,clear sky
236,Tapes,BR,-30.6733,-51.3958,50.95,76,0,3.31,clear sky
237,La Palma,US,33.8464,-118.0467,91.81,66,40,10.36,scattered clouds
238,Bacalar,MX,18.6667,-88.3833,77.2,90,98,4.59,overcast clouds
239,Broome,US,42.2506,-75.833,68.38,79,0,5.75,clear sky
240,Netrakona,BD,24.8833,90.7167,77.85,97,100,4.03,light rain
241,Yandyki,RU,45.7691,47.1258,79.83,47,17,6.02,few clouds
242,Royan,FR,45.6285,-1.0281,65.79,91,0,7.94,clear sky
243,Dingle,PH,10.9995,122.6711,81.91,82,100,5.73,overcast clouds
244,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,84,21,5.23,few clouds
245,Norman Wells,CA,65.282,-126.8329,62.49,53,95,8.16,overcast clouds
246,Cabo San Lucas,MX,22.8909,-109.9124,90.7,61,40,10.36,scattered clouds
247,Thinadhoo,MV,0.5333,72.9333,77.54,89,100,20.24,overcast clouds
248,Sola,VU,-13.8833,167.55,79.86,75,96,8.95,overcast clouds
249,Itaqui,BR,-29.1253,-56.5531,51.35,79,5,7.52,clear sky
250,Kidal,ML,18.4411,1.4078,87.75,36,90,14.23,overcast clouds
251,Varna,BG,43.2167,27.9167,72.88,96,21,4.61,few clouds
252,Waipawa,NZ,-41.4122,175.5153,41.41,93,100,19.44,overcast clouds
253,Mfou,CM,3.7159,11.6427,66.06,94,100,4.07,overcast clouds
254,Milas,TR,37.3164,27.7839,65.55,88,0,2.3,clear sky
255,Timra,SE,62.487,17.3257,54.68,87,100,4.61,overcast clouds
256,Namibe,AO,-15.1961,12.1522,60.66,90,12,7.83,few clouds
257,Cidreira,BR,-30.1811,-50.2056,53.89,80,0,6.08,clear sky
258,Saint Anthony,US,45.0205,-93.218,83.17,56,0,14.97,clear sky
259,Magadan,RU,59.5667,150.8,55.0,89,100,4.34,light rain
260,Muravlenko,RU,63.7898,74.523,53.74,64,0,18.05,clear sky
261,Beloha,MG,-25.1667,45.05,64.0,83,4,3.15,clear sky
262,Sungurlu,TR,40.1675,34.3739,65.46,65,0,4.5,clear sky
263,Moba,CN,33.2288,105.0179,70.29,80,79,4.83,broken clouds
264,Jutai,BR,-5.1833,-68.9,79.2,71,100,2.64,overcast clouds
265,Vila Velha,BR,-20.3297,-40.2925,69.21,71,89,11.39,overcast clouds
