City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Cabra,ES,76.03,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
218,Tuy Hoa,VN,84.4,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
221,Alexandria,EG,78.76,clear sky,31.2156,29.9553,Royal Crown Hotel
222,Miyazu,JP,84.4,overcast clouds,35.5333,135.1833,Seikiro
224,Katsuura,JP,86.02,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
226,Umm Lajj,SA,86.31,scattered clouds,25.0213,37.2685,Moon light Furnished Units
228,Lanja,IN,75.24,few clouds,16.85,73.55,Naivedyam Farmstay
229,Terney,RU,80.78,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
232,Lorengau,PG,83.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
234,Kampong Chhnang,KH,82.4,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
235,Yunyang,CN,83.08,clear sky,33.4474,112.7142,Post & Telecom Hotel
238,Bacalar,MX,77.2,overcast clouds,18.6667,-88.3833,Hotel Laguna Bacalar
240,Netrakona,BD,77.85,light rain,24.8833,90.7167,সিয়াম ছাত্রাবাস
241,Yandyki,RU,79.83,few clouds,45.7691,47.1258,
243,Dingle,PH,81.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
247,Thinadhoo,MV,77.54,overcast clouds,0.5333,72.9333,
248,Sola,VU,79.86,overcast clouds,-13.8833,167.55,Leumerus Bungalows
250,Kidal,ML,87.75,overcast clouds,18.4411,1.4078,
258,Saint Anthony,US,83.17,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
264,Jutai,BR,79.2,overcast clouds,-5.1833,-68.9,
267,Sao Filipe,CV,77.68,overcast clouds,14.8961,-24.4956,Hotel Xaguate
268,Gonzales,US,81.99,clear sky,30.2385,-90.9201,Hampton Inn Gonzales
270,Vaitape,PF,79.2,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
273,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,DoubleFAG
275,Brigantine,US,80.8,few clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
279,Mbuji-Mayi,CD,76.93,broken clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
285,Ternate,ID,82.65,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
286,Campbell River,CA,84.25,clear sky,50.0163,-125.2446,Anchor Inn & Suites
288,Hami,CN,88.38,overcast clouds,42.8,93.45,Laoyutang Resort
291,Banjar,ID,80.62,overcast clouds,-8.19,114.9675,The Hamsa Resort
297,Iralaya,HN,80.94,overcast clouds,15.0,-83.2333,Iglesia morava renovada
301,Lar,IN,85.64,moderate rain,26.2039,83.9717,Ovaiskarni ward Lar
303,Stonewall,CA,84.02,few clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
306,Lazaro Cardenas,MX,82.49,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
309,Hirara,JP,84.4,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
311,Wanxian,CN,84.83,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
313,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
317,Brandon,US,88.88,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
318,Bilma,NE,88.21,few clouds,18.6853,12.9164,Expeditions Ténére voyages
320,Pirgos,GR,82.62,clear sky,35.1167,25.7178,Elpida Village
322,Sao Raimundo Das Mangabeiras,BR,78.04,clear sky,-7.0219,-45.4811,Hotel Tropical
326,Tateyama,JP,83.89,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
332,Beidao,CN,79.66,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
