City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Maragogi,BR,2022-07-29 09:47:33,-9.0122,-35.2225,73.49,90,65,4.59
137,Pisco,PE,2022-07-29 09:50:15,-13.7,-76.2167,60.85,82,100,5.75
138,Kapaa,US,2022-07-29 09:50:15,22.0752,-159.319,79.12,87,40,14.97
139,Airai,TL,2022-07-29 09:51:16,-8.9266,125.4092,58.17,87,79,3.04
140,Rafraf,TN,2022-07-29 09:51:16,37.1904,10.1837,89.91,58,0,8.41
141,Mongu,ZM,2022-07-29 09:51:17,-15.2484,23.1274,81.28,19,8,4.56
142,Ancud,CL,2022-07-29 09:51:17,-41.8697,-73.8203,45.46,75,100,4.27
143,Yellowknife,CA,2022-07-29 09:46:58,62.456,-114.3525,50.56,81,20,4.61
144,Mount Gambier,AU,2022-07-29 09:51:18,-37.8333,140.7667,41.56,88,44,4.25
145,Shenjiamen,CN,2022-07-29 09:51:18,29.9576,122.298,82.54,87,100,8.57
146,Saskylakh,RU,2022-07-29 09:51:18,71.9167,114.0833,64.96,66,100,2.89
147,Mayumba,GA,2022-07-29 09:51:20,-3.432,10.6554,76.42,69,67,6.67
148,Mitchell,US,2022-07-29 09:51:20,43.7094,-98.0298,54.1,91,0,1.01
149,Saint Anthony,US,2022-07-29 09:51:21,45.0205,-93.218,60.84,86,0,6.91
150,Kontagora,NG,2022-07-29 09:51:21,10.3999,5.4695,77.9,77,98,5.68
151,Srednekolymsk,RU,2022-07-29 09:51:21,67.45,153.6833,62.69,40,5,7.52
152,Lagoa,PT,2022-07-29 09:51:22,39.05,-27.9833,71.13,75,0,0.69
153,Port Elizabeth,ZA,2022-07-29 09:51:22,-33.918,25.5701,67.32,59,0,16.11
154,Dicabisagan,PH,2022-07-29 09:51:23,17.0818,122.4157,83.5,80,61,1.61
155,Boyuibe,BO,2022-07-29 09:51:23,-20.4167,-63.2833,55.92,47,100,9.64
156,Tabuk,PH,2022-07-29 09:51:24,17.4189,121.4443,79.74,88,100,4.99
157,East London,ZA,2022-07-29 09:51:24,-33.0153,27.9116,76.14,41,0,17.27
158,Tigre,AR,2022-07-29 09:51:25,-34.426,-58.5796,46.4,86,0,4.61
159,Kloulklubed,PW,2022-07-29 09:51:25,7.0419,134.2556,83.66,74,100,11.25
160,Aketi,CD,2022-07-29 09:51:25,2.7388,23.7833,70.57,99,100,1.39
